문경대학교(본교)
상지영서대학교(본교)
서강대학교(본교) 
서영대학교(본교)
서경대학교(본교) 
서라벌대학교(본교)
서울교육대학교(본교) 
서울기독대학교(본교) 
서울대학교(본교) 
서울디지털대학교(본교) 
영남신학대학교(본교) 
영남외국어대학
영남이공대학교(본교)
세종대학교(본교) 
세종사이버대학교(본교) 
송곡대학교(본교)
송원대학(본교)
송호대학교(본교)
수원가톨릭대학교(본교) 
수원과학대학교(본교)
한국폴리텍대학 청주캠퍼스
한국폴리텍대학 홍성캠퍼스
한국폴리텍Ⅴ김제대학
한국폴리텍대학 광주캠퍼스
한국폴리텍Ⅴ대학 익산캠퍼스
한국폴리텍Ⅴ목포대학
한국폴리텍Ⅵ대학 대구캠퍼스
한국폴리텍Ⅵ대학 구미캠퍼스
한국폴리텍대학 창원캠퍼스
한국폴리텍Ⅶ부산캠퍼스
한국폴리텍대학 울산캠퍼스
한국폴리텍대학 바이오캠퍼스
한국폴리텍대학 안성캠퍼스
한국폴리텍대학 항공캠퍼스
한국항공대학교(본교) 
한국해양대학교(본교) 
한남대학교(본교) 
한동대학교(본교) 
한라대학교(본교) 
한려대학교(본교)
한림대학교(본교) 
한림성심대학교(본교)
한밭대학교(본교) 
한서대학교(본교) 
한성대학교(본교) 
한세대학교(본교) 
한신대학교(본교) 
한양대학교(본교) 
한양대학교(에리카캠퍼스) 
한양사이버대학교(본교) 
한양여자대학교(본교)
한영대학(본교)
서울한영대학교(본교)
한일장신대학교(본교) 
협성대학교(본교) 
혜전대학교(본교)
대전과학기술대학교(본교)
호남대학교(본교) 
호남신학대학교(본교) 
호서대학교(본교) 
호원대학교(본교) 
홍익대학교(본교) 
홍익대학교 세종캠퍼스 
화신사이버대학교(본교) 
소속학교미정
영진전문대학교(본교)
예수대학교(본교) 
예원예술대학교(본교) 
오산대학교(본교)
용인대학교(본교) 
용인송담대학교(본교)
우석대학교(본교) 
우송대학교(본교) 
우송정보대학(본교)
울산과학기술원(본교) 
울산과학대학교(본교)
울산대학교(본교) 
웅지세무대학교(본교)
원광대학교(본교) 
원광디지털대학교(본교) 
원광보건대학교(본교)
위덕대학교(본교) 
유한대학교(본교)
을지대학교(대전캠퍼스)
을지대학교(성남캠퍼스)
이화여자대학교(본교) 
인덕대학교(본교)
건양사이버대학교(본교) 
송원대학교(본교) 
Gordon College
한국폴리텍대학 영주캠퍼스
Massachusetts College of Pharmacy and Health Sciences
"Goldsmiths, University of London"
ISIPCA
University of Nottingham
Queens University Belfast
Queen Mary University of London
오사카시립대학
University at Buffalo
University of York
국방대학교
한국폴리텍대학제주캠퍼스
화동사범대학교
Loughborough University
Macquarie University
Kings College London
"University of California, Davis"
University of Technology Sydney
"University of California, Berkeley"
"Birkbeck, University of London"
신한대학교(본교)
한국폴리텍대학 원주캠퍼스
University of New South Wales(UNSW)
University of Sheffield
Temple University
National University of Singapore
University of British Colombia (Okanagan Campus)
University of Maryland
University of Arizona
산동사범대학교
Georgia State University’s Perimeter College
